Checkpoint Number,Latitude,Longitude,Elevation,Notes,Points
101,40.50255843,-80.42884827,335,NA,10
102,40.51924754,-80.44361115,312,NA,10
103,40.52228147,-80.44685125,340,NA,10
104,40.51386441,-80.4655838,331,NA,10
105,40.5134892,-80.43643355,339,NA,10
106,40.50999808,-80.45541286,354,NA,10
107,40.50688201,-80.44987679,340,NA,10
108,40.49885461,-80.4211235,334,NA,10
109,40.50901106,-80.44994652,349,111's mother checkpoint,10
110,40.51246146,-80.4453063,291,NA,10
111,40.50810561,-80.44715166,342,secret checkpoint,20
112,40.51272248,-80.42773247,294,secret checkpoint,20
113,40.51418251,-80.40500879,350,secret checkpoint,20
114,40.5341223,-80.47749281,371,secret checkpoint,20
115,40.50743671,-80.42550087,303,112's mother checkpoint,20
116,40.49314348,-80.42768955,316,NA,20
117,40.50179158,-80.4562068,367,NA,20
118,40.50603363,-80.45891047,349,NA,20
119,40.52026702,-80.46946764,363,NA,20
120,40.50478551,-80.41841984,340,NA,20
121,40.50126946,-80.41168213,312,NA,30
122,40.48994504,-80.40773392,357,NA,30
123,40.4945142,-80.41086674,336,NA,30
124,40.50422263,-80.40884972,273,NA,30
125,40.51753477,-80.42826891,326,NA,30
126,40.52498907,-80.43571472,344,NA,30
127,40.5226077,-80.45361042,367,NA,30
128,40.52179214,-80.46120644,347,NA,30
129,40.51109111,-80.47253609,369,NA,30
130,40.53598142,-80.47762156,383,114's mother checkpoint,30
131,40.51461481,-80.47584057,360,NA,40
132,40.52767616,-80.45303643,302,NA,40
133,40.52215099,-80.47974586,378,NA,40
134,40.50756723,-80.41142464,340,NA,40
135,40.51287745,-80.40478349,354,113's mother checkpoint,40
136,40.49949097,-80.40015936,309,NA,40
137,40.52856096,-80.46270847,341,NA,40
138,40.54005009,-80.46930671,346,NA,40
139,40.52991464,-80.48141956,375,NA,40
140,40.5287159,-80.45794487,367,NA,50
141,40.51580565,-80.44775248,319,NA,50
142,40.52978417,-80.47021866,388,NA,50
143,40.52710939,-80.43447018,342,NA,50
144,40.49999678,-80.43786049,341,NA,50
145,40.51004702,-80.39975166,304,NA,50
146,40.5063273,-80.39436579,274,NA,50
147,40.49937675,-80.39121151,319,NA,50
148,40.4910384,-80.39642572,323,NA,50
149,40.5372208,-80.45903921,334,NA,50
150,40.53777525,-80.48485279,376,NA,50
Start/Finish,40.50958206,-80.4465723,356,NA,
