Point,X,Y,Elevation,Distance to Start
100,0,0,356,0
101,1352.79187817,-1076.14213198,335,1782.86227552
102,459.390862944,1010.15228426,312,1192.44732717
103,261.421319797,1368.02030457,340,1459.55695816
104,-1469.54314721,748.730964467,331,1706.06486527
105,961.92893401,274.111675127,339,1091.29338175
106,-738.578680203,187.817258883,354,878.218148867
107,-271.573604061,-246.192893401,340,569.957593277
108,1908.62944162,-1558.37563452,334,2502.37174711
109,-230.964467005,-5.07614213198,349,493.820724611
110,129.441624365,294.416243655,291,542.14441253
111,76.1421319797,-241.116751269,342,504.401653642
112,1753.8071066,-446.700507614,294,1861.67931619
113,3553.29949239,-185.279187817,350,3584.78939294
114,-1994.92385787,3131.97969543,371,3738.92104932
115,1766.49746193,-685.279187817,303,1944.37343791
116,1248.73096447,-2096.44670051,316,2478.88824232
117,-941.624365482,-708.121827411,367,1256.41831751
118,-1035.53299492,-210.659898477,349,1143.32959243
119,-1753.8071066,1515.2284264,363,2358.44485785
120,2263.95939086,-923.85786802,340,2483.84510808
121,2723.35025381,-1439.08629442,312,3110.95823244
122,2654.82233503,-2657.36040609,357,3781.54699411
123,2634.5177665,-2121.82741117,336,3410.76089302
124,3076.14213198,-1180.20304569,273,3323.54965802
125,1713.19796954,558.375634518,326,1853.99575673
126,1190.35532995,1383.24873096,344,1876.37922509
127,-299.492385787,1573.60406091,367,1660.24612143
128,-939.086294416,1505.07614213,347,1826.91971545
129,-2126.9035533,548.223350254,369,2239.36951876
130,-1974.61928934,3474.61928934,383,4020.2752714
131,-2230.96446701,1058.37563452,360,2507.5630792
132,-154.822335025,2104.06091371,302,2154.42185679
133,-2505.07614213,1936.54822335,378,3196.26971136
134,2852.79187817,-786.802030457,340,2991.30972433
135,3527.91878173,-324.873096447,354,3569.6221921
136,3713.19796954,-1880.7106599,309,4185.13522438
137,-913.705583756,2324.87309645,341,2535.82185972
138,-1256.34517766,3692.89340102,346,3925.09494565
139,-2459.39086294,2751.26903553,375,3715.99256622
140,-500.0,2294.41624365,367,2388.48098941
141,-17.7664974619,781.725888325,319,895.487383247
142,-1629.44162437,2558.37563452,388,3064.452993
143,1350.25380711,1720.81218274,342,2230.43828846
144,616.751269036,-1185.27918782,341,1405.61263761
145,3916.24365482,-624.365482234,304,3989.64175868
146,4307.10659898,-1192.89340102,274,4490.50130428
147,4370.55837563,-1931.47208122,319,4798.20822858
148,3819.79695431,-2654.82233503,323,4672.19137484
149,-421.319796954,3276.64974619,334,3332.33257996
150,-2517.76649746,3697.96954315,376,4494.95783123
