"Name","Checkpoint","Split","Total_time"
"285 NimKik Skulls","(105)","0:13:04","0:13:04"
"285 NimKik Skulls","(126)","0:27:33","0:14:29"
"285 NimKik Skulls","(143)","0:45:17","0:17:44"
"285 NimKik Skulls","(103)","1:11:47","0:26:30"
"285 NimKik Skulls","(132)","1:26:53","0:15:06"
"285 NimKik Skulls","(140)","1:41:00","0:14:07"
"285 NimKik Skulls","(141)","2:15:35","0:34:35"
"285 NimKik Skulls","(110)","2:30:45","0:15:10"
"285 NimKik Skulls","(109)","2:45:03","0:14:18"
"285 NimKik Skulls","(111)","2:49:09","0:04:06"
"285 NimKik Skulls","F","2:52:03","0:02:54"
"286 Team 3DZ","(109)","0:04:59","0:04:59"
"286 Team 3DZ","(106)","0:12:33","0:07:34"
"286 Team 3DZ","(118)","0:27:12","0:14:39"
"286 Team 3DZ","(104)","0:50:24","0:23:12"
"286 Team 3DZ","(131)","1:11:19","0:20:55"
"286 Team 3DZ","(133)","1:41:54","0:30:35"
"286 Team 3DZ","(119)","1:55:58","0:14:04"
"286 Team 3DZ","(128)","2:14:30","0:18:32"
"286 Team 3DZ","F","2:56:23","0:41:53"
"275 This is what happens Larry","(109)","0:02:27","0:02:27"
"275 This is what happens Larry","(106)","0:07:41","0:05:14"
"275 This is what happens Larry","(118)","0:17:00","0:09:19"
"275 This is what happens Larry","(104)","0:42:06","0:25:06"
"275 This is what happens Larry","(129)","1:01:55","0:19:49"
"275 This is what happens Larry","(133)","2:00:01","0:58:06"
"275 This is what happens Larry","(128)","2:24:06","0:24:05"
"275 This is what happens Larry","F","2:54:56","0:30:50"
"446 Farmers Insurance Racing","(121)","0:23:45","0:23:45"
"446 Farmers Insurance Racing","(124)","0:35:50","0:12:05"
"446 Farmers Insurance Racing","(136)","1:31:57","0:56:07"
"446 Farmers Insurance Racing","(148)","2:14:13","0:42:16"
"446 Farmers Insurance Racing","(122)","2:34:37","0:20:24"
"446 Farmers Insurance Racing","(123)","2:42:17","0:07:40"
"446 Farmers Insurance Racing","(108)","2:58:01","0:15:44"
"446 Farmers Insurance Racing","F","3:26:44","0:28:43"
"287 MudSkippers","(109)","0:03:57","0:03:57"
"287 MudSkippers","(106)","0:12:43","0:08:46"
"287 MudSkippers","(118)","2:32:51","2:20:08"
"287 MudSkippers","F","3:03:08","0:30:17"
"281 Team Wildman","(110)","0:07:03","0:07:03"
"281 Team Wildman","(141)","0:19:30","0:12:27"
"281 Team Wildman","(102)","0:34:40","0:15:10"
"281 Team Wildman","(103)","0:44:08","0:09:28"
"281 Team Wildman","(132)","0:59:40","0:15:32"
"281 Team Wildman","(140)","1:11:13","0:11:33"
"281 Team Wildman","(137)","1:34:34","0:23:21"
"281 Team Wildman","(142)","1:58:54","0:24:20"
"281 Team Wildman","F","3:02:38","1:03:44"
"276 Team Immelmann","(105)","0:19:25","0:19:25"
"276 Team Immelmann","(126)","0:41:17","0:21:52"
"276 Team Immelmann","(103)","1:02:56","0:21:39"
"276 Team Immelmann","(127)","1:57:27","0:54:31"
"276 Team Immelmann","(106)","2:31:50","0:34:23"
"276 Team Immelmann","(109)","2:40:33","0:08:43"
"276 Team Immelmann","(111)","2:47:38","0:07:05"
"276 Team Immelmann","F","2:52:15","0:04:37"
"290 Left Shark","(110)","0:16:31","0:16:31"
"290 Left Shark","(141)","0:34:59","0:18:28"
"290 Left Shark","(103)","1:31:34","0:56:35"
"290 Left Shark","(127)","2:01:47","0:30:13"
"290 Left Shark","(106)","2:40:09","0:38:22"
"290 Left Shark","(109)","2:46:55","0:06:46"
"290 Left Shark","F","2:53:07","0:06:12"
"295 Where's Waldo?","(109)","0:02:42","0:02:42"
"295 Where's Waldo?","(107)","0:10:08","0:07:26"
"295 Where's Waldo?","(117)","0:25:52","0:15:44"
"295 Where's Waldo?","(101)","1:54:30","1:28:38"
"295 Where's Waldo?","(115)","2:17:34","0:23:04"
"295 Where's Waldo?","(112)","2:26:29","0:08:55"
"295 Where's Waldo?","F","3:00:53","0:34:24"
"293 Team Atomic Ants","(110)","0:23:53","0:23:53"
"293 Team Atomic Ants","(141)","1:54:33","1:30:40"
"293 Team Atomic Ants","F","2:46:34","0:52:01"
"288 Fox River","(110)","0:19:36","0:19:36"
"288 Fox River","(141)","0:46:06","0:26:30"
"288 Fox River","(102)","1:21:46","0:35:40"
"288 Fox River","(132)","2:19:48","0:58:02"
"288 Fox River","F","3:32:17","1:12:29"
"288 Fox River",NA,NA,NA
"291 Klokkerud from Norway","(107)","0:05:53","0:05:53"
"291 Klokkerud from Norway","(117)","0:15:36","0:09:43"
"291 Klokkerud from Norway","(118)","0:20:38","0:05:02"
"291 Klokkerud from Norway","(129)","0:40:28","0:19:50"
"291 Klokkerud from Norway","(131)","0:55:11","0:14:43"
"291 Klokkerud from Norway","(133)","1:14:23","0:19:12"
"291 Klokkerud from Norway","(139)","1:25:46","0:11:23"
"291 Klokkerud from Norway","(150)","1:40:35","0:14:49"
"291 Klokkerud from Norway","(138)","1:56:41","0:16:06"
"291 Klokkerud from Norway","(149)","2:12:28","0:15:47"
"291 Klokkerud from Norway","(132)","2:25:17","0:12:49"
"291 Klokkerud from Norway","(110)","2:45:46","0:20:29"
"291 Klokkerud from Norway","F","2:54:58","0:09:12"
"279 Jonestown","(110)","0:05:02","0:05:02"
"279 Jonestown","(141)","0:15:05","0:10:03"
"279 Jonestown","(102)","0:28:14","0:13:09"
"279 Jonestown","(132)","1:02:21","0:34:07"
"279 Jonestown","(140)","1:09:45","0:07:24"
"279 Jonestown","(137)","1:20:51","0:11:06"
"279 Jonestown","(142)","1:37:51","0:17:00"
"279 Jonestown","(139)","1:52:36","0:14:45"
"279 Jonestown","(133)","2:02:29","0:09:53"
"279 Jonestown","(119)","2:13:09","0:10:40"
"279 Jonestown","(131)","2:28:54","0:15:45"
"279 Jonestown","(104)","2:42:08","0:13:14"
"279 Jonestown","F","3:02:19","0:20:11"
"279 Jonestown","(140)","1:09:51","*140"
"278 The Doddering Gits","(144)","0:32:35","0:32:35"
"278 The Doddering Gits","(101)","0:48:30","0:15:55"
"278 The Doddering Gits","(115)","1:14:30","0:26:00"
"278 The Doddering Gits","(112)","1:26:09","0:11:39"
"278 The Doddering Gits","(110)","2:10:25","0:44:16"
"278 The Doddering Gits","(109)","2:35:13","0:24:48"
"278 The Doddering Gits","(111)","2:41:23","0:06:10"
"278 The Doddering Gits","F","2:45:03","0:03:40"
"289 Two of a Kind","(107)","0:11:24","0:11:24"
"289 Two of a Kind","(117)","0:35:47","0:24:23"
"289 Two of a Kind","(118)","1:00:18","0:24:31"
"289 Two of a Kind","(106)","2:34:14","1:33:56"
"289 Two of a Kind","(109)","2:41:31","0:07:17"
"289 Two of a Kind","(111)","2:47:40","0:06:09"
"289 Two of a Kind","F","2:51:44","0:04:04"
"292 John Hinderliter","(110)","0:09:25","0:09:25"
"292 John Hinderliter","(141)","0:22:20","0:12:55"
"292 John Hinderliter","(102)","0:40:00","0:17:40"
"292 John Hinderliter","(103)","0:50:32","0:10:32"
"292 John Hinderliter","(140)","1:17:35","0:27:03"
"292 John Hinderliter","(137)","1:33:30","0:15:55"
"292 John Hinderliter","(139)","2:08:50","0:35:20"
"292 John Hinderliter","(133)","2:28:25","0:19:35"
"292 John Hinderliter","(109)","3:14:48","0:46:23"
"292 John Hinderliter","F","3:17:33","0:02:45"
"277 Sherry   Shank","(110)","0:09:17","0:09:17"
"277 Sherry   Shank","(127)","0:44:15","0:34:58"
"277 Sherry   Shank","(132)","0:56:47","0:12:32"
"277 Sherry   Shank","(140)","1:13:07","0:16:20"
"277 Sherry   Shank","(137)","1:21:47","0:08:40"
"277 Sherry   Shank","(128)","1:46:12","0:24:25"
"277 Sherry   Shank","(119)","2:02:04","0:15:52"
"277 Sherry   Shank","(106)","2:47:38","0:45:34"
"277 Sherry   Shank","(109)","2:53:30","0:05:52"
"277 Sherry   Shank","F","2:56:09","0:02:39"
"280 Barbara Johnstone","(119)","1:56:14","1:56:14"
"280 Barbara Johnstone","F","2:57:11","1:00:57"
"284 Maptitude","(109)","0:03:12","0:03:12"
"284 Maptitude","(107)","0:09:13","0:06:01"
"284 Maptitude","(118)","0:24:36","0:15:23"
"284 Maptitude","(104)","0:49:29","0:24:53"
"284 Maptitude","(129)","1:30:40","0:41:11"
"284 Maptitude","(131)","1:43:18","0:12:38"
"284 Maptitude","(119)","1:57:20","0:14:02"
"284 Maptitude","(128)","2:13:18","0:15:58"
"284 Maptitude","(106)","2:40:04","0:26:46"
"284 Maptitude","(111)","2:55:10","0:15:06"
"284 Maptitude","F","2:57:45","0:02:35"
"452 Hail to the Chimp","(109)","0:01:37","0:01:37"
"452 Hail to the Chimp","(106)","0:05:09","0:03:32"
"452 Hail to the Chimp","(118)","0:10:46","0:05:37"
"452 Hail to the Chimp","(104)","0:24:07","0:13:21"
"452 Hail to the Chimp","(129)","0:32:21","0:08:14"
"452 Hail to the Chimp","(131)","0:40:21","0:08:00"
"452 Hail to the Chimp","(133)","0:52:43","0:12:22"
"452 Hail to the Chimp","(119)","1:01:14","0:08:31"
"452 Hail to the Chimp","(128)","1:09:39","0:08:25"
"452 Hail to the Chimp","(137)","1:21:02","0:11:23"
"452 Hail to the Chimp","(142)","1:31:24","0:10:22"
"452 Hail to the Chimp","(139)","1:38:50","0:07:26"
"452 Hail to the Chimp","(150)","1:46:49","0:07:59"
"452 Hail to the Chimp","(130)","1:54:07","0:07:18"
"452 Hail to the Chimp","(114)","1:57:51","0:03:44"
"452 Hail to the Chimp","(138)","2:07:44","0:09:53"
"452 Hail to the Chimp","(149)","2:17:52","0:10:08"
"452 Hail to the Chimp","(140)","2:30:16","0:12:24"
"452 Hail to the Chimp","(132)","2:38:00","0:07:44"
"452 Hail to the Chimp","(127)","2:48:08","0:10:08"
"452 Hail to the Chimp","(141)","2:57:43","0:09:35"
"452 Hail to the Chimp","(102)","3:07:58","0:10:15"
"452 Hail to the Chimp","(126)","3:18:41","0:10:43"
"452 Hail to the Chimp","(143)","3:25:39","0:06:58"
"452 Hail to the Chimp","(125)","3:44:08","0:18:29"
"452 Hail to the Chimp","(115)","4:00:38","0:16:30"
"452 Hail to the Chimp","(120)","4:08:14","0:07:36"
"452 Hail to the Chimp","(134)","4:18:06","0:09:52"
"452 Hail to the Chimp","(135)","4:30:26","0:12:20"
"452 Hail to the Chimp","(113)","4:32:00","0:01:34"
"452 Hail to the Chimp","(145)","4:40:09","0:08:09"
"452 Hail to the Chimp","(146)","4:49:24","0:09:15"
"452 Hail to the Chimp","(124)","5:03:46","0:14:22"
"452 Hail to the Chimp","(136)","5:16:14","0:12:28"
"452 Hail to the Chimp","(123)","5:29:14","0:13:00"
"452 Hail to the Chimp","(144)","5:48:24","0:19:10"
"452 Hail to the Chimp","F","6:02:51","0:14:27"
"438 Riley Jane","(144)","0:19:57","0:19:57"
"438 Riley Jane","(101)","0:29:40","0:09:43"
"438 Riley Jane","(121)","0:47:48","0:18:08"
"438 Riley Jane","(124)","0:56:38","0:08:50"
"438 Riley Jane","(146)","1:13:40","0:17:02"
"438 Riley Jane","(145)","1:26:31","0:12:51"
"438 Riley Jane","(135)","1:39:02","0:12:31"
"438 Riley Jane","(113)","1:43:04","0:04:02"
"438 Riley Jane","(134)","2:03:33","0:20:29"
"438 Riley Jane","(120)","2:19:06","0:15:33"
"438 Riley Jane","(115)","2:30:20","0:11:14"
"438 Riley Jane","(112)","2:35:57","0:05:37"
"438 Riley Jane","(125)","2:55:28","0:19:31"
"438 Riley Jane","(126)","3:12:55","0:17:27"
"438 Riley Jane","(103)","3:30:10","0:17:15"
"406 Finders Keepers","(110)","0:09:42","0:09:42"
"406 Finders Keepers","(141)","0:20:36","0:10:54"
"406 Finders Keepers","(127)","0:48:52","0:28:16"
"406 Finders Keepers","(132)","1:00:55","0:12:03"
"406 Finders Keepers","(140)","1:10:44","0:09:49"
"406 Finders Keepers","(137)","1:23:21","0:12:37"
"406 Finders Keepers","(149)","1:48:47","0:25:26"
"406 Finders Keepers","(138)","2:03:03","0:14:16"
"406 Finders Keepers","(130)","2:13:43","0:10:40"
"406 Finders Keepers","(150)","2:31:04","0:17:21"
"406 Finders Keepers","(114)","2:44:39","0:13:35"
"406 Finders Keepers","(139)","2:50:53","0:06:14"
"406 Finders Keepers","(142)","3:02:20","0:11:27"
"406 Finders Keepers","(133)","3:22:21","0:20:01"
"406 Finders Keepers","(131)","3:46:02","0:23:41"
"435 MK","(109)","0:02:07","0:02:07"
"435 MK","(107)","0:07:53","0:05:46"
"435 MK","(117)","0:25:11","0:17:18"
"435 MK","(118)","0:31:55","0:06:44"
"435 MK","(104)","0:50:29","0:18:34"
"435 MK","(129)","1:02:15","0:11:46"
"435 MK","(131)","1:16:21","0:14:06"
"435 MK","(133)","1:40:51","0:24:30"
"435 MK","(142)","2:04:44","0:23:53"
"435 MK","(139)","2:20:30","0:15:46"
"435 MK","(150)","2:35:03","0:14:33"
"435 MK","(130)","2:45:50","0:10:47"
"435 MK","(138)","2:57:14","0:11:24"
"435 MK","(149)","3:11:33","0:14:19"
"435 MK","(137)","3:32:46","0:21:13"
"422 Kevin Peterson","(109)","0:01:58","0:01:58"
"422 Kevin Peterson","(106)","0:06:42","0:04:44"
"422 Kevin Peterson","(118)","0:14:41","0:07:59"
"422 Kevin Peterson","(104)","0:37:12","0:22:31"
"422 Kevin Peterson","(129)","0:47:27","0:10:15"
"422 Kevin Peterson","(131)","1:06:42","0:19:15"
"422 Kevin Peterson","(133)","1:28:20","0:21:38"
"422 Kevin Peterson","(139)","1:41:00","0:12:40"
"422 Kevin Peterson","(150)","1:57:42","0:16:42"
"422 Kevin Peterson","(130)","2:11:36","0:13:54"
"422 Kevin Peterson","(138)","2:25:02","0:13:26"
"422 Kevin Peterson","(149)","2:42:13","0:17:11"
"422 Kevin Peterson","(137)","3:17:12","0:34:59"
