,team ID,Team Name,Time Limit,Category,Size,Borrow,test,Rank,Class,Club,Time,Gross Score,Penalty,Score
0,401,BeeRingers,6,"Masters, Mixed",2.0,Y,BeeRingers,10.0,MB6,,,780,0,780
1,403,High and Dry,6,"Masters, Men",2.0,Y,HighandDry,,MM6,,,400,0,400
2,403,High and Dry,6,"Masters, Men",2.0,Y,HighandDry,53.0,MM6,,,330,510,-180
3,404,Team Spang,6,"Masters, Mixed",2.0,N,TeamSpang,,MB6,WPOC,,790,0,790
4,405,Yaki   Barak,6,"Masters, Men",1.0,N,YakiBarak,37.0,MM6,WPOC,,500,0,500
5,407,Gordon   Huang,6,"Elite, Men",1.0,Y,GordonHuang,39.0,EM6,WPOC,,440,0,440
6,408,Mountain Meisters,6,"Elite, Men",2.0,Y,MountainMeisters,38.0,EM6,,,460,0,460
7,409,Nightcrawlers,6,"Veterans, Mixed",2.0,N,Nightcrawlers,22.0,VB6,,,670,0,670
8,410,Victorious Seekers,6,"Elite, Mixed",2.0,Y,VictoriousSeekers,22.0,EB6,,,670,0,670
9,411,Olga   Huber,6,"Masters, Women",1.0,Y,OlgaHuber,2.0,MW6,,,910,0,910
10,412,Wishin' I was Fishin',6,"Masters, Men",1.0,Y,Wishin'IwasFishin',4.0,MM6,,,880,0,880
11,413,WTF (Where's the Finish),6,"Masters, Women",2.0,Y,WTF(Where'stheFinish),45.0,MW6,,,340,0,340
12,414,Kathy Jo Rufener,6,"Masters, Women",1.0,Y,KathyJoRufener,49.0,MW6,,,300,0,300
13,415,Clint Hartle,6,"Elite, Men",1.0,Y,ClintHartle,35.0,EM6,,,520,0,520
14,416,Wonderful Adventure Racers,6,"Elite, Mixed",2.0,N,WonderfulAdventureRacers,7.0,EB6,,,830,10,820
15,417,Richard Davies,6,"Veterans, Men",1.0,N,RichardDavies,52.0,VM6,,,360,380,-20
16,418,Buck n' Sunshine,6,"Elite, Mixed",2.0,Y,Buckn'Sunshine,33.0,EB6,,,540,0,540
17,419,Third Wheel,6,"Elite,Mixed",3.0,Y,ThirdWheel,28.0,EB6,,,560,0,560
18,420,Grey   Michels,6,"Masters, Men",1.0,N,GreyMichels,5.0,MM6,,,860,0,860
19,421,Charles Borchart,6,"Veterans, Men",1.0,Y,CharlesBorchart,39.0,VM6,,,440,0,440
20,422,Kevin Peterson,6,"Elite, Men",1.0,Y,KevinPeterson,21.0,EM6,,,680,0,680
21,423,Lisa Storey,6,"Elite, Women",1.0,Y,LisaStorey,28.0,EW6,,,560,0,560
22,426,Dan Beggs,6,"Masters, Men",1.0,Y,DanBeggs,11.0,MM6,,,760,0,760
23,427,Erin Rycroft,6,"Elite, Women",1.0,N,ErinRycroft,25.0,EW6,,,600,0,600
24,429,Thomas Rycroft,6,"Masters, Men",1.0,N,ThomasRycroft,3.0,MM6,,,890,0,890
25,428,Rust Belt Runners,6,"Masters, Men",2.0,Y,RustBeltRunners,42.0,MM6,,,390,0,390
26,430,JJ,6,"Masters, Men",1.0,Y,JJ,17.0,MM6,,,710,0,710
27,431,IndyXpress,6,"Masters, Mixed",2.0,Y,IndyXpress,11.0,MB6,,,760,0,760
28,432,Jerry Agin,6,"Veterans, Men",1.0,Y,JerryAgin,17.0,VM6,WPOC,,710,0,710
29,433,Master Mart,6,"Elite, Men",2.0,Y,MasterMart,50.0,EM6,,,260,0,260
30,434,Honey Badgers,6,"Elite, Mixed",4.0,Y,HoneyBadgers,48.0,EB6,,,320,0,320
31,435,MK,6,"Elite, Men",1.0,Y,MK,16.0,EM6,,,740,20,720
32,436,Over the Hills,6,"Masters, Men",3.0,Y,OvertheHills,26.0,MM6,,,580,0,580
