,team ID,Team Name,Checkpoint,Total Time,Split
0,285,NimKik Skulls,105,0:13:04,0:13:04
1,285,NimKik Skulls,126,0:27:33,0:14:29
2,285,NimKik Skulls,143,0:45:17,0:17:44
3,285,NimKik Skulls,103,1:11:47,0:26:30
4,285,NimKik Skulls,132,1:26:53,0:15:06
5,285,NimKik Skulls,140,1:41:00,0:14:07
6,285,NimKik Skulls,141,2:15:35,0:34:35
7,285,NimKik Skulls,110,2:30:45,0:15:10
8,285,NimKik Skulls,109,2:45:03,0:14:18
9,285,NimKik Skulls,111,2:49:09,0:04:06
10,285,NimKik Skulls,F,2:52:03,0:02:54
11,286,Team 3DZ,109,0:04:59,0:04:59
12,286,Team 3DZ,106,0:12:33,0:07:34
13,286,Team 3DZ,118,0:27:12,0:14:39
14,286,Team 3DZ,104,0:50:24,0:23:12
15,286,Team 3DZ,131,1:11:19,0:20:55
16,286,Team 3DZ,133,1:41:54,0:30:35
17,286,Team 3DZ,119,1:55:58,0:14:04
18,286,Team 3DZ,128,2:14:30,0:18:32
19,286,Team 3DZ,F,2:56:23,0:41:53
20,275,This is what happens Larry,109,0:02:27,0:02:27
21,275,This is what happens Larry,106,0:07:41,0:05:14
22,275,This is what happens Larry,118,0:17:00,0:09:19
23,275,This is what happens Larry,104,0:42:06,0:25:06
24,275,This is what happens Larry,129,1:01:55,0:19:49
25,275,This is what happens Larry,133,2:00:01,0:58:06
26,275,This is what happens Larry,128,2:24:06,0:24:05
27,275,This is what happens Larry,F,2:54:56,0:30:50
28,446,Farmers Insurance Racing,121,0:23:45,0:23:45
29,446,Farmers Insurance Racing,124,0:35:50,0:12:05
30,446,Farmers Insurance Racing,136,1:31:57,0:56:07
31,446,Farmers Insurance Racing,148,2:14:13,0:42:16
32,446,Farmers Insurance Racing,122,2:34:37,0:20:24
33,446,Farmers Insurance Racing,123,2:42:17,0:07:40
34,446,Farmers Insurance Racing,108,2:58:01,0:15:44
35,446,Farmers Insurance Racing,F,3:26:44,0:28:43
36,287,MudSkippers,109,0:03:57,0:03:57
37,287,MudSkippers,106,0:12:43,0:08:46
38,287,MudSkippers,118,2:32:51,2:20:08
39,287,MudSkippers,F,3:03:08,0:30:17
40,281,Team Wildman,110,0:07:03,0:07:03
41,281,Team Wildman,141,0:19:30,0:12:27
42,281,Team Wildman,102,0:34:40,0:15:10
43,281,Team Wildman,103,0:44:08,0:09:28
44,281,Team Wildman,132,0:59:40,0:15:32
45,281,Team Wildman,140,1:11:13,0:11:33
46,281,Team Wildman,137,1:34:34,0:23:21
47,281,Team Wildman,142,1:58:54,0:24:20
48,281,Team Wildman,F,3:02:38,1:03:44
49,276,Team Immelmann,105,0:19:25,0:19:25
50,276,Team Immelmann,126,0:41:17,0:21:52
51,276,Team Immelmann,103,1:02:56,0:21:39
52,276,Team Immelmann,127,1:57:27,0:54:31
53,276,Team Immelmann,106,2:31:50,0:34:23
54,276,Team Immelmann,109,2:40:33,0:08:43
55,276,Team Immelmann,111,2:47:38,0:07:05
56,276,Team Immelmann,F,2:52:15,0:04:37
57,290,Left Shark,110,0:16:31,0:16:31
58,290,Left Shark,141,0:34:59,0:18:28
59,290,Left Shark,103,1:31:34,0:56:35
60,290,Left Shark,127,2:01:47,0:30:13
61,290,Left Shark,106,2:40:09,0:38:22
62,290,Left Shark,109,2:46:55,0:06:46
63,290,Left Shark,F,2:53:07,0:06:12
64,295,Where's Waldo?,109,0:02:42,0:02:42
65,295,Where's Waldo?,107,0:10:08,0:07:26
66,295,Where's Waldo?,117,0:25:52,0:15:44
67,295,Where's Waldo?,101,1:54:30,1:28:38
68,295,Where's Waldo?,115,2:17:34,0:23:04
69,295,Where's Waldo?,112,2:26:29,0:08:55
70,295,Where's Waldo?,F,3:00:53,0:34:24
71,293,Team Atomic Ants,110,0:23:53,0:23:53
72,293,Team Atomic Ants,141,1:54:33,1:30:40
73,293,Team Atomic Ants,F,2:46:34,0:52:01
74,288,Fox River,110,0:19:36,0:19:36
75,288,Fox River,141,0:46:06,0:26:30
76,288,Fox River,102,1:21:46,0:35:40
77,288,Fox River,132,2:19:48,0:58:02
78,288,Fox River,F,3:32:17,1:12:29
79,288,Fox River,,,
80,291,Klokkerud from Norway,107,0:05:53,0:05:53
81,291,Klokkerud from Norway,117,0:15:36,0:09:43
82,291,Klokkerud from Norway,118,0:20:38,0:05:02
